MatID,Quantity,Purchase_Date,Supplier ID,Unit Cost
TFC48,114,1/2/06,Supplier B,28.08
TCC17,43,1/3/06,Supplier B,10.3
NTCM123,135,1/4/06,Supplier G,13.35
TCC17,89,1/4/06,Supplier F,8.02
BYC104,194,1/6/06,Supplier B,10.09
NTDP75,124,1/6/06,Supplier D,2.84
GT151,73,1/7/06,Supplier F,1.14
NTCS30,68,1/7/06,Supplier H,32.71
STC50,84,1/7/06,Supplier C,7.39
TG120,126,1/7/06,Supplier F,28.52
TSC20,77,1/7/06,Supplier D,7.97
HYB50,40,1/8/06,Supplier C,16
NTCM123,227,1/8/06,Supplier G,13.98
MZL50,112,1/9/06,Supplier E,25.33
NTC34,250,1/9/06,Supplier A,34
TCC17,50,1/9/06,Supplier B,8.84
TMM40,34,1/9/06,Supplier A,59.64
TOO17,40,1/9/06,Supplier C,16
TSC20,66,1/9/06,Supplier D,7.37
GT151,97,1/10/06,Supplier F,1.14
NTDP75,98,1/10/06,Supplier D,2.6
NTDP75,99,1/11/06,Supplier D,2.73
TOO17,70,1/11/06,Supplier C,15.38
NTCDA10,26,1/12/06,Supplier G,20.55
NTCS30,42,1/12/06,Supplier H,31.59
TOO17,53,1/13/06,Supplier A,16.08
NTDA40,127,1/14/06,Supplier E,39.78
PEN320,77,1/14/06,Supplier B,8.71
BYC104,100,1/15/06,Supplier B,10
HPS40,67,1/15/06,Supplier D,15.47
HPS40,47,1/16/06,Supplier C,15.58
HYB50,76,1/16/06,Supplier F,14.97
MZL50,130,1/16/06,Supplier F,24.58
HYB50,90,1/17/06,Supplier D,14.91
TOO17,51,1/17/06,Supplier A,15.71
TOO17,79,1/17/06,Supplier A,15.16
LGR10,156,1/18/06,Supplier E,4.52
PEN320,100,1/18/06,Supplier B,8.87
PEN320,104,1/18/06,Supplier A,9.23
PEN320,68,1/18/06,Supplier A,8.94
STC50,100,1/18/06,Supplier C,8
TG120,120,1/19/06,Supplier E,28
NTCM123,210,1/20/06,Supplier G,13.45
NTCM123,232,1/20/06,Supplier B,13.8
GT151,209,1/21/06,Supplier F,1.23
HPS40,39,1/21/06,Supplier D,15.36
CBX12,20,1/22/06,Supplier B,7
TCC17,111,1/23/06,Supplier F,11.33
MZL50,84,1/24/06,Supplier F,24.21
NTC34,300,1/24/06,Supplier A,34
PEN320,139,1/24/06,Supplier A,8.64
TG120,171,1/24/06,Supplier F,31.48
BYC104,172,1/25/06,Supplier F,10.74
PEN320,113,1/25/06,Supplier B,8.59
TSS90,120,1/27/06,Supplier B,14.7
TWD40,129,1/27/06,Supplier H,16.47
PEN320,69,1/28/06,Supplier A,8.75
TCC17,193,1/28/06,Supplier F,8.69
TG120,184,1/28/06,Supplier F,30.66
NTDP75,111,1/29/06,Supplier D,2.71
NTDP75,75,1/30/06,Supplier D,3
TMM40,148,1/31/06,Supplier B,57.44
TR80,117,1/31/06,Supplier H,15.32
TSS90,152,1/31/06,Supplier B,14.89
NTCS30,53,2/1/06,Supplier B,30.18
STC50,50,2/2/06,Supplier C,8
TFC48,40,2/2/06,Supplier B,29
DATM10,92,2/3/06,Supplier H,14.31
TCC17,170,2/3/06,Supplier B,7.19
TWD40,164,2/3/06,Supplier D,16.1
NTCM123,213,2/4/06,Supplier G,14.42
LGR10,130,2/5/06,Supplier B,4.64
MZL50,140,2/5/06,Supplier E,24.85
HYB50,61,2/6/06,Supplier C,14.81
NTCDA10,44,2/6/06,Supplier G,21.13
DATM10,91,2/7/06,Supplier H,13.5
NTDA40,73,2/8/06,Supplier E,40.76
TWD40,60,2/8/06,Supplier A,17.61
