MatID,Quantity,Shipping_Times,Unit_Price,CustomerID
BYC104,256,8,31,1
BYC104,78,16,26,2
BYC104,261,10,22,3
BYC104,75,21,29,3
BYC104,53,13,28,1
BYC104,354,22,29,1
BYC104,189,14,33,3
BYC104,242,15,24,2
BYC104,169,14,25,1
BYC104,361,9,25,3
BYC104,447,22,22,2
BYC104,194,23,31,1
BYC104,333,22,28,1
BYC104,405,22,32,2
BYC104,256,19,30,3
BYC104,240,15,24,3
BYC104,223,24,32,1
BYC104,388,21,29,1
BYC104,38,17,33,1
BYC104,345,8,31,2
BYC104,172,23,24,1
BYC104,20,23,28,2
BYC104,478,12,33,2
BYC104,251,15,27,2
BYC104,333,23,24,1
BYC104,500,16,27,1
BYC104,410,17,29,1
BYC104,470,20,22,1
BYC104,209,16,24,1
BYC104,305,7,25,1
BYC104,203,23,29,3
BYC104,355,10,32,2
BYC104,415,18,32,2
BYC104,443,15,31,2
BYC104,222,15,24,2
BYC104,82,20,21,2
BYC104,108,8,28,3
BYC104,390,9,29,2
BYC104,187,7,30,2
